link,title,url
https://blog.datalore.io/introducing-datalore/,Introducing Datalore - an intelligent tool for machine learning in Python, (datalore.io) 
https://activewizards.com/blog/a-comparative-analysis-of-top-6-bi-and-data-visualization-tools-in-2018/,A Comparative Analysis of Top 6 BI and Data Visualization Tools in 2018, (activewizards.com) 
https://medium.com/scribd-data-science-engineering/search-query-parsing-ce16d7d2db88,Search Query Parsing, (medium.com) 
https://tinyletter.com/data,Data goes bang: a journey to understand data privacy in a data driven world, (tinyletter.com) 
https://statsbot.co/blog/event-analytics-define-user-sessions-sql/,Event Analytics: How to Define User Sessions with SQL, (statsbot.co) 
http://harderchoices.com/2018/02/11/finite-markov-decision-process-a-high-level-introduction/,Finite Markov Decision Process a high-level introduction, (harderchoices.com) 
https://www.kaggle.com/mrisdal/safely-analyzing-github-projects-popular-licenses/notebook,Tutorial: Analyzing GitHub Projects on Kaggle using Python and BigQuery, (kaggle.com) 
https://statsbot.co/blog/calculating-customer-lifetime-value-sql-example,Using SQL to Estimate Customer Lifetime Value (LTV) without Machine Learning, (statsbot.co) 
https://activewizards.com/blog/top-15-scala-libraries-for-data-science/,Top 15 Scala Libraries for Data Science in 2018, (activewizards.com) 
https://dwhsys.com/2017/03/25/apache-zeppelin-vs-jupyter-notebook/,Apache Zeppelin vs. Jupyter Notebook: comparison and experience, (dwhsys.com) 
https://towardsdatascience.com/deepfakes-explained-hottest-girls-on-the-net-part-1-e60c67434f7,DeepFakes explained + Hottest girls on the net Part 1, (towardsdatascience.com) 
https://blog.insightdatascience.com/how-to-solve-90-of-nlp-problems-a-step-by-step-guide-fda605278e4e,How to solve 90% of NLP problems: a step-by-step guide, (insightdatascience.com) 
https://medium.com/scribd-data-science-engineering/neural-spelling-corrections-and-the-importance-of-accuracy-977c0063d20f,Neural Spelling Corrections and the Importance of Accuracy, (medium.com) 
https://data36.com/statistical-averages-mean-median-mode/,"Statistical Averages (Mean, Median, Mode)", (data36.com) 
https://wp.me/p9wfKM-1d,Non stationary K-armed bandit problem in Python (Reinforcement Learning), (wp.me) 
https://github.com/arogozhnikov/python3_with_pleasure,A short guide on features of Python 3 for data scientists, (github.com) 
https://towardsdatascience.com/practical-text-generation-with-tensorflow-serving-3fa5c792605e,Practical Text Generation with Tensorflow Serving, (towardsdatascience.com) 
http://dataprism.co,Data Prism: new edition (#16), (dataprism.co) 
https://medium.com/textileio/what-to-expect-from-intelligent-apps-in-2018-dea1bf356c8f,Here’s what to expect from intelligent apps in 2018, (medium.com) 
https://data36.com/python-for-loops-explained-data-science-basics-5/,Python For Loops Explained (Python for Data Science Basics #5), (data36.com) 
https://github.com/featuretools/featuretools,Featuretools: automated feature engineering for python, (github.com) 
https://hackernoon.com/aspiring-data-scientists-start-to-learn-statistics-with-these-6-books-a33bbb55b8e9,Aspiring Data Scientists! Start to learn Statistics with these 6 books!, (hackernoon.com) 
https://medium.com/@shsu14/collect-your-own-fitbit-data-with-python-ff145fa10873,Collect Your Own Fitbit Data with Python, (medium.com) 
http://randyzwitch.com/mapd-install-load-data/,Getting Started With MapD: Docker Install and Loading Data, (randyzwitch.com) 
https://data.blog/2018/01/19/to-a-poem-is-a-bott-the-stranger/,To a Poem is a Bott the Stranger, (data.blog) 
https://www.lucidchart.com/techblog/2018/01/31/debug-disk-full-errors-redshift/,How to Debug Disk-Full Errors in Redshift, (lucidchart.com) 
https://medium.com/seldon-open-source-machine-learning/introducing-seldon-core-machine-learning-deployment-for-kubernetes-e10e94c19fd8,Introducing Seldon Core — Machine Learning Deployment for Kubernetes, (medium.com) 
http://www.vladsandulescu.com/topic-prediction-lda-user-reviews/,Predicting what user reviews are about with LDA and gensim, (vladsandulescu.com) 
http://www.thebiketripproject.com/,Personal Data Visualizations from a bicycle trip, (thebiketripproject.com) 
https://www.udemy.com/manipulate-excel-file-from-python-openpyxl/?couponCode=KNOWLEDGE_IS_POWER,"Automate Excel, Word, PDF, HTML Web Scraping from Python", (udemy.com) 
/x?fnid=mhs0Lg6LM1,More,
